sample_idx,slot,k_active,nf_true,nf_pred,jnr_db,sisdr_db,mix_sisdr_db,sisdri_db,abs_tl_err_us,abs_ts_err_us,ok_tl,ok_ts,ok_nf,ok_total,burst_count,active_len_ratio,overlap_ratio,pred_energy_ratio,max_collapse_cos,is_sep_fail,reason_primary,reason_flags
883,2,3,3,1,-7.818653583526611,-57.606208673765224,-19.075600369168665,-38.530608304596555,0.2879149913787842,1.9006335735321045,0,0,0,0,2,0.1815,0.7892561983471075,0.30315640568733215,0.2232254296541214,1,sep_worse_than_mix,heavy_overlap;low_jnr;nf_wrong_class;sep_negative;sep_worse_than_mix;tl_out_tol;ts_out_tol
196,1,3,1,0,-7.072329044342041,-44.08864282149847,-19.58306059835565,-24.505582223142817,1.1312718391418457,2.7474780082702637,0,0,0,0,1,0.03875,0.0,0.06377746909856796,0.8225989937782288,1,nf_miss_to_0,low_jnr;nf_miss_to_0;sep_negative;sep_worse_than_mix;single_cycle;tl_out_tol;ts_out_tol
339,0,3,1,2,17.73388671875,-24.975358004767394,-1.5176727175374705,-23.45768528722992,1.0555394887924194,4.7271728515625,0,0,0,0,1,0.03925,0.0,5.562346935272217,0.11091949790716171,1,sep_worse_than_mix,nf_wrong_class;sep_negative;sep_worse_than_mix;single_cycle;tl_out_tol;ts_out_tol
949,1,3,1,0,14.240276336669922,-24.23479779303851,-1.6217122230942846,-22.613085569944225,0.5170918703079224,1.1737346649169922,0,0,0,0,1,0.05625,0.0,0.35045915842056274,0.8960732221603394,1,nf_miss_to_0,nf_miss_to_0;sep_negative;sep_worse_than_mix;single_cycle;tl_out_tol;ts_out_tol
683,0,2,1,0,9.583986282348633,-16.90191832450916,0.828451056636369,-17.73036938114553,1.4420061111450195,0.4361732006072998,0,0,0,0,2,0.1055,0.0,0.1841280311346054,0.7950475811958313,1,nf_miss_to_0,nf_miss_to_0;sep_negative;sep_worse_than_mix;tl_out_tol;ts_out_tol
506,2,3,2,3,13.614924430847168,-18.407296776874436,-2.1055718614676646,-16.301724915406773,0.5347282886505127,3.5279154777526855,0,0,0,0,2,0.161,0.0,0.12226589024066925,0.9484959244728088,1,slot_collapse,nf_wrong_class;sep_negative;sep_worse_than_mix;slot_collapse;tl_out_tol;ts_out_tol
192,0,2,1,0,9.987979888916016,-18.537453999595378,-3.020985985510048,-15.51646801408533,2.4932427406311035,3.746152400970459,0,0,0,0,1,0.02775,0.0,0.3395613133907318,0.651923418045044,1,nf_miss_to_0,nf_miss_to_0;sep_negative;sep_worse_than_mix;single_cycle;tl_out_tol;ts_out_tol
693,0,3,3,0,-0.8597794771194458,-21.28196414966533,-5.794696883986111,-15.48726726567922,1.642991542816162,3.3370249271392822,0,0,0,0,1,0.12675,0.0,0.45231127738952637,0.7626664042472839,1,nf_miss_to_0,low_jnr;nf_miss_to_0;sep_negative;sep_worse_than_mix;single_cycle;tl_out_tol;ts_out_tol
21,2,3,2,2,13.454886436462402,-14.95705246178395,0.09386862716733431,-15.050921088951284,0.3703277111053467,1.519275426864624,0,0,1,0,3,0.189,0.0,0.12246976792812347,0.3534407913684845,1,sep_worse_than_mix,sep_negative;sep_worse_than_mix;tl_out_tol;ts_out_tol
316,2,3,3,3,17.973173141479492,-12.548089960472797,1.0821221454889733,-13.630212105961771,0.46383821964263916,2.0274338722229004,0,0,1,0,1,0.1845,0.34552845528455284,0.18660534918308258,0.21890270709991455,1,sep_worse_than_mix,sep_negative;sep_worse_than_mix;single_cycle;tl_out_tol;ts_out_tol
433,2,3,3,3,9.234188079833984,-15.571793124508698,-2.300958707935831,-13.270834416572868,0.3495826721191406,1.6338014602661133,0,0,1,0,1,0.21825,0.022909507445589918,0.10118525475263596,0.9512178897857666,1,slot_collapse,sep_negative;sep_worse_than_mix;single_cycle;slot_collapse;tl_out_tol;ts_out_tol
527,2,3,2,3,16.335651397705078,-15.437970543298484,-2.821121800821312,-12.61684874247717,0.09497475624084473,0.30254697799682617,1,0,0,0,2,0.187,0.5949197860962567,0.14850609004497528,0.6623430848121643,1,sep_worse_than_mix,nf_wrong_class;sep_negative;sep_worse_than_mix;ts_out_tol
144,1,3,2,0,12.583431243896484,-14.207233286992604,-1.6948883359907145,-12.51234495100189,0.5483767986297607,2.554340124130249,0,0,0,0,1,0.1035,0.20048309178743962,0.03000442497432232,0.6134505867958069,1,nf_miss_to_0,nf_miss_to_0;sep_negative;sep_worse_than_mix;single_cycle;tl_out_tol;ts_out_tol
467,2,3,3,3,13.891555786132812,-11.323763390416865,0.8725488982608453,-12.19631228867771,0.3893522024154663,1.0599260330200195,0,0,1,0,2,0.219,0.2328767123287671,0.11721879988908768,0.9592161774635315,1,slot_collapse,sep_negative;sep_worse_than_mix;slot_collapse;tl_out_tol;ts_out_tol
87,1,3,1,0,10.590027809143066,-16.63658867123631,-4.7983467356331,-11.838241935603211,0.1804713010787964,0.2189497947692871,0,1,0,0,1,0.0385,0.0,0.006973790004849434,0.7476373910903931,1,nf_miss_to_0,nf_miss_to_0;pred_low_energy;sep_negative;sep_worse_than_mix;single_cycle;tl_out_tol
204,1,2,1,2,-0.44495999813079834,-17.013396221236604,-5.350829022254496,-11.662567198982108,0.3010268211364746,0.6179525852203369,0,0,0,0,1,0.0475,0.0,0.09411868453025818,0.7855029702186584,1,sep_worse_than_mix,low_jnr;nf_wrong_class;sep_negative;sep_worse_than_mix;single_cycle;tl_out_tol;ts_out_tol
699,0,3,1,0,17.930553436279297,-13.53213917766312,-1.8991635065317647,-11.632975671131355,0.07401132583618164,0.3988947868347168,1,0,0,0,1,0.07275,0.0,0.335766464471817,0.6848456859588623,1,nf_miss_to_0,nf_miss_to_0;sep_negative;sep_worse_than_mix;single_cycle;ts_out_tol
78,1,3,1,2,6.357514381408691,-17.707304048784707,-6.219182942427067,-11.488121106357639,1.419093132019043,4.677049160003662,0,0,0,0,1,0.0345,0.5144927536231884,0.4393985867500305,0.6903457045555115,1,sep_worse_than_mix,nf_wrong_class;sep_negative;sep_worse_than_mix;single_cycle;tl_out_tol;ts_out_tol
180,0,3,2,3,12.6409330368042,-14.154270250867395,-2.890175113061381,-11.264095137806013,0.46363186836242676,3.246079444885254,0,0,0,0,1,0.117,0.717948717948718,0.7937108278274536,0.7749098539352417,1,sep_worse_than_mix,heavy_overlap;nf_wrong_class;sep_negative;sep_worse_than_mix;single_cycle;tl_out_tol;ts_out_tol
80,0,3,3,0,7.317615509033203,-15.535764910741483,-4.4332801542709035,-11.102484756470579,1.9346078634262085,2.6575169563293457,0,0,0,0,1,0.117,0.017094017094017096,0.298157274723053,0.4288117289543152,1,nf_miss_to_0,nf_miss_to_0;sep_negative;sep_worse_than_mix;single_cycle;tl_out_tol;ts_out_tol
829,1,3,3,3,-6.633900165557861,-32.61828478394377,-21.624176709582965,-10.994108074360806,0.7491531372070312,2.9780349731445312,0,0,1,0,1,0.16125,1.0,0.9716566801071167,0.8498368263244629,1,sep_worse_than_mix,heavy_overlap;low_jnr;sep_negative;sep_worse_than_mix;single_cycle;tl_out_tol;ts_out_tol
99,1,3,1,1,3.929185152053833,-16.28624536968324,-5.903763726105176,-10.382481643578064,0.5895578861236572,1.176830768585205,0,0,1,0,1,0.0545,0.0,0.8135091066360474,0.5537609457969666,1,sep_worse_than_mix,sep_negative;sep_worse_than_mix;single_cycle;tl_out_tol;ts_out_tol
822,0,3,3,2,0.7370271682739258,-16.072777809532642,-5.827244576832859,-10.245533232699783,0.08831667900085449,1.8340187072753906,1,0,0,0,1,0.1335,1.0,0.5472725629806519,0.6931806206703186,1,sep_worse_than_mix,heavy_overlap;nf_wrong_class;sep_negative;sep_worse_than_mix;single_cycle;ts_out_tol
524,1,2,2,3,10.443567276000977,-11.77506809027371,-1.5333941460316278,-10.241673944242082,0.41034865379333496,0.5523157119750977,0,0,0,0,1,0.072,0.0,0.01981525868177414,0.8264513611793518,1,sep_worse_than_mix,nf_wrong_class;pred_low_energy;sep_negative;sep_worse_than_mix;single_cycle;tl_out_tol;ts_out_tol
506,0,3,3,3,14.511472702026367,-10.171531784222207,-0.16072701372847056,-10.010804770493737,0.19899308681488037,0.2829570770263672,0,0,1,0,2,0.261,0.0,2.468214511871338,0.9460030198097229,1,slot_collapse,sep_negative;sep_worse_than_mix;slot_collapse;tl_out_tol;ts_out_tol
